,0,1
683,tjuvstart,tyvstart
684,innbrotstjuv,innbruddstyv
685,innbrotstjuv,innbrottstjuv
686,innbrotstjuveri,innbruddstyveri
687,innbrotstjuveri,innbrottstjuveri
688,vesketjuv,vesketyv
689,tjuvjo,tyvjo
690,hjartekulde,hjertekulde
691,hjartekulde,hjertekulde
692,hjarte-lunge-maskin,hjerte-lunge-maskin
693,hjarte-lunge-maskin,hjerte-lunge-maskin
694,hjartesukk,hjertesukk
695,hjarterkonge,hjerterkonge
696,hjartekrampe,hjertekrampe
697,hjarteklaff,hjerteklaff
698,hjarteverk,hjerteverk
699,hjartefeil,hjertefeil
700,hjertesjukdom,hjertesykdom
701,hjartesjukdom,hjertesykdom
702,hjartesjukdom,hjertesjukdom
703,hjerte-karsjukdom,hjerte-karsykdom
704,hjarte-karsjukdom,hjerte-karsykdom
705,hjarte-karsjukdom,hjerte-karsjukdom
706,hjerte-ogkarsjukdom,hjerte-ogkarsykdom
707,hjarte-ogkarsjukdom,hjerte-ogkarsykdom
708,hjarte-ogkarsjukdom,hjerte-ogkarsjukdom
709,hjartetransplantasjon,hjertetransplantasjon
710,hjartefunksjon,hjertefunksjon
711,hjarter,hjerter
712,hjarterknekt,hjerterknekt
713,hjarteblod,hjerteblod
714,hjartetilfelle,hjertetilfelle
715,hjarte,hjerte
716,harehjarte,harehjerte
717,sovehjarte,sovehjerte
718,løvehjarte,løvehjerte
719,vaffelhjarte,vaffelhjerte
720,moderhjarte,moderhjerte
721,morshjarte,morshjerte
722,hjartelag,hjertelag
723,hjarteslag,hjerteslag
724,hjarteattakk,hjerteattakk
725,hjarteanfall,hjerteanfall
726,hjarterom,hjerterom
727,hjartebarn,hjertebarn
728,hjartekammer,hjertekammer
729,hjarteflimmer,hjerteflimmer
730,hjartesår,hjertesår
731,hjarteinfarkt,hjerteinfarkt
732,omgivnad,omgivelse
733,vidaresending,videresendelse
734,vidaresending,videresendelse
735,overskriding,overskridelse
736,vidaresending,videreforsendelse
737,vidaresending,videresending
738,vidaresending,viderebefordrelse
739,vidaresending,viderebefordring
740,svinging,svingning
741,grunnstøyting,grunnstøting
742,grunnstøyting,grunnstøtting
743,grunnstøyting,grunnstøtning
744,grunnstøyting,grunnstøytning
745,grunnstøyting,grunnstøytting
746,reiarlag,rederi
747,sparkstytting,sparkstøtting
748,helling,helning
749,høgre,høyre
750,høgre,høyre
751,bit,bitt
752,portnar,portner
753,reiar,reder
754,skipsreiar,skipsreder
755,surfar,surfer
756,utbrytar,utbryter
757,oppbod,oppbud
758,vindauge,vindu
759,hovudvindauge,hovedvindu
760,slottsvindauge,slottsvindu
761,meirverdi,merverdi
762,noverdi,nåverdi
763,beinfisk,benfisk
764,boknefisk,boknafisk
765,botnfisk,bunnfisk
766,djupvassfisk,dypvannsfisk
767,djupvassfisk,djupvannsfisk
768,einerbusk,einebusk
769,einebusk,einerbusk
770,ferskvassfisk,ferskvannsfisk
771,fjørdusk,fjærdusk
772,hofisk,hunnfisk
773,kvitfisk,hvitfisk
774,lepefisk,leppefisk
775,leppefisk,lepefisk
776,lippefisk,leppefisk
777,lutefisk,lutfisk
778,lutfisk,lutefisk
779,raudfisk,rødfisk
780,saltvassfisk,saltvannsfisk
781,setjefisk,settefisk
782,skjene,skinne
783,togskjene,togskinne
784,steikefisk,stekefisk
785,tong,tang
786,visse,visshet
787,uvisse,uvisshet
788,jente,pike
789,speleliste,spilleliste
790,gåve,gave
791,utgåve,utgave
792,førsteutgåve,førsteutgave
793,andreutgåve,andreutgave
794,samanslåing,sammenslåing
795,melding,beskjed
796,melding,anmeldelse
797,politimelding,anmeldelse
798,mekling,megling
799,konteinar,konteiner
800,kjølekonteinar,kjølekonteiner
801,sannsynsfordeling,sannsynlighetsfordeling
802,samling,ansamling
803,symjing,svømming
804,påskjønningsordning,belønningsordning
805,statskyrkjeordning,statskirkeordning
806,teikning,tegning
807,kolteikning,kulltegning
808,samanlikning,sammenligning
809,utlikning,utligning
810,vidareføring,videreføring
811,jamføring,sammenligning
812,utdanning,utdannelse
813,vidareutdanning,videreutdannelse
814,vidareutdanning,videreutdanning
815,yrkesutdanning,yrkesutdannelse
816,utdanningsbakgrunn,utdannelsesbakgrunn
817,utdanningsnivå,utdannelsesnivå
818,utdanningssamfunn,utdannelsessamfunn
819,utdanningsstipend,utdannelsesstipend
820,utdanningssystem,utdannelsessystem
821,utdaning,utdannelse
822,opning,åpning
823,namneendring,navneendring
824,brigde,endring
825,omleiring,beleiring
826,kringsetting,beleiring
827,rådløyse,rådløshet
828,medvitsløyse,bevisstløshet
829,gissing,gjetting
830,hovudsak,hovedsak
