,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2013030506235,"Hansen, Atle",Det kvite pulveret :,2006,"barnebøker, skjønnlitteratur, spenningslitteratur",nno,2006,spenningsroman,,
2013030506236,"Ringtved, Glenn",Mot nye mål,2009,,nob,2009,,,
2013030606010,"Siamon, Sharon",Musikal og intriger ; Jennas dansedrømmer,2009,,nob,2009,,,
2013030608011,"Sortland, Bjørn",Stavanger-mysteriet,2010,"barn, barnebøker, kriminalroman, spenningslitteratur, stavanger",nob,2010,,,
2013030806050,"Coupe, Robert",Ekstreme forhold,cop. 2010,"klima, orkaner, vulkaner, været, ørkner",nob,2010,,,
2013031106128,"Jansson, Tove",Det usynlige barnet og andre fortellinger,2008,,nob,2008,,,
2013031508108,"Hovland, Ragnar",Katten til Ivar Aasen møter hunden frå Baskerville (og andre dikt),2007,"barnebøker, barnedikt, barnelitteratur, barnepoesi, dikt, diktbøker, hundar, kattar, skjønnlitteratur",nno,2007,,,
2013031906097,"Dixon, Franklin W.",Hardy-guttene jager biltyvene,2010,"barnebøker, spenning, triviallitteratur",nob,2010,,,
2013031906143,"Knudsen, Lise",Svarte vinger,2007,"følelser, kunstnere, musikk, talent, ungdomsbøker",nob,2007,,,
2013032006035,"Røssland, Tor Arve",På rømmen i New York,2008,"lettlest, lettlestbøker, skjønnlitteratur",nno,2008,,,
2013040208147,"Osborne, Mary Pope.",Ridder ved daggry,2011,,nob,2011,,,
2013040305058,"Geithus, Ingrid",Fjelldronninghagen,2008,,nno,2008,,,
2013040306018,"Andreassen, Ivan",Tveluggs 3 oppgaver,cop. 2010,,nob,2010,,,
2013040338015,"Murray, Stuart",Mars,2005,,nob,2005,,,
2013040806050,"Dowley, Tim",John Bunyans Pilegrims vandring,cop. 2005,,nob,2005,,,
2013041206091,"Knudsen, Sverre",Skremt,2008,"barnebøker, lettlesingsbøker, lettlest, samvittighet, tyveri",nob,2008,,,
2013041206092,"Ringtved, Glenn","Fotball, svette og tårer",2010,"barnebøker, fotball",nob,2010,,,
2013041206101,"Knudsen, Sverre",Fabrikken uten hjerte,2010,,nob,2010,,,
2013041206114,"Dorsey, Angela",Ulveskaret,2009,,nob,2009,,,
2013041206156,"Dixon, Franklin W.",Rødt lys for Hardy-guttene,2010,"barnebøker, spenning, triviallitteratur",nob,2010,,,
2013041505005,"Jansson, Tove",Småtrollene og den store oversvømmelsen,2010,,nob,2010,,,
2013041505018,"Campbell, Joanna","Parker, en lagspiller?",2010,,nob,2010,,,
2013041605080,"Dixon, Franklin W.",Hardy-guttene på falskmyntnerjakt,2009,,nob,2009,,,
2013041606096,"Kaaberbøl, Lene",Skuggeporten,cop. 2007,"dansk, fantastisk, fantasy, litteratur, skjønnlitteratur, spenningsbøker, spenningslitteratur, ungdomsbøker",nno,2007,,,
2013041906053,"Berntsen, Oddrun-Helen",,2008,,nob,2008,,,
2013042405039,"Berggren, Arne",Kornetten :,2009,,nob,2009,et rop om hjelp,,
2013042405079,"Røssland, Ingelin",Englejakt :,2010,"spenningslitteratur, ungdomsbøker",nno,2010,roman,,
2013042505002,"Bond, Michael",Paddington i dag :,cop. 2008,barnebøker,nob,2008,de siste historiene om Paddington,,
2013042506090,"Wang, Meg",365 historier fra Bibelen,cop. 2010,,nob,2010,,,
2013043006202,"Laberg, Hans Petter",HoneyBunny,2008,"barn, fedre, skjønnlitteratur, ungdom, ungdomsbøker",nob,2008,,,
2013050605028,"Sortland, Bjørn",Paris-mysteriet,2008,"familie, ferie, mysterier, reise",nob,2008,,,
2013050605039,"Vinje, Kari",Gud og jeg er venner,2009,,nob,2009,,,
2013050606110,"Aspås, Anne-Berit",Ivar og data-familien,2008,"bokstaver, dataspill, store",nob,2008,,,
2013050707020,"Sørum, Steffen",Saladins felle,2009,"barnebøker, korstogene, pilegrimsreiser, pilgrimsfolket",nob,2009,,,
