,1
BOONE,1.0
BORING,1.0
BOWLINGKULE,0.25
BOY,0.6666666666666666
BP,5.0
BPstasjonen,1.0
BQE,1.0
BRA,0.0017421602787456446
BRAKMåkeren,1.0
BRANN,0.08695652173913043
BREES,3.0
BRENNA,1.0
BREVDUE,1.0
BRIDGE,0.3333333333333333
BRIT,1.0
BROREN,0.004694835680751174
BRORSAN,0.3333333333333333
BROS,1.0
BRUCE,1.0
BRUKER,0.00510204081632653
BRUKES,0.024390243902439025
BRUTT,0.01639344262295082
BRYR,0.004672897196261682
BRYTER,0.012048192771084338
BRØDRE,0.7777777777777778
BUDDY,0.5
BUP,2.0
BURDE,0.002544529262086514
BUSSEN,0.008
BYER,0.045454545454545456
BYGD,0.022727272727272728
BYTTERETT,1.0
Ba,0.0056179775280898875
Babcock,1.0
Baby,0.8787878787878788
Babybilder,1.0
Bach,4.0
Bacheye,1.0
Bacigalupi,1.0
Backen,1.0
Backman,9.0
Backpackerne,0.3333333333333333
Bacon,0.14285714285714285
Badebussen,0.5
Badegulvet,0.3333333333333333
Baden,1.0
Badene,0.2
Badet,0.012422360248447204
Bading,1.0
Baer,1.0
Baff,3.0
Bagasjerommet,0.06666666666666667
Bagels,1.0
Bagera,1.0
Bahamas,8.0
Bahar,4.0
Bailey,3.0
Baileys,4.0
Bain,17.0
Bains,5.0
Baird,12.0
Bairds,1.0
Bak,0.07684824902723736
Bakbundet,0.5
Bakdøra,0.05263157894736842
Baken,0.07142857142857142
Baker,0.25
Bakerst,0.05263157894736842
Bakfra,0.06666666666666667
Bakgmnnssjekk,1.0
Bakgården,0.125
Bakhodet,0.024390243902439025
Baki,0.058823529411764705
Baking,1.0
Bakkebygrenda,1.0
Bakkekontakten,1.0
Bakken,0.04899135446685879
Baklomma,0.045454545454545456
Baklyset,1.0
Bakover,0.0182370820668693
Bakowski,1.0
Bakrusen,0.3333333333333333
Baksetet,0.013888888888888888
Baksiden,0.020833333333333332
Balansen,0.020833333333333332
Balanserer,0.125
Baldwin,1.0
Ballen,0.1111111111111111
Ballene,0.18840579710144928
Baller,0.022727272727272728
Ballet,0.075
Ballkjolene,0.5
Ballkomiteen,0.125
Ballongene,0.2
Ballonger,0.09090909090909091
Ballpartneren,0.3333333333333333
Balls,1.0
Balltreet,0.08333333333333333
Baltic,6.0
Bambi,1.0
Bamse,0.5
Bananarama,4.0
Bananer,0.25
Band,0.030303030303030304
Bandasjert,0.5
Bandet,0.20833333333333334
Bandit,1.0
Bane,0.2
Bang,1.1428571428571428
Banget,1.0
Bangkok,1.0
Bangladesh,1.0
Bank,0.42857142857142855
Banke,0.02702702702702703
Bankene,0.25
Banna,1.0
Banner,0.1111111111111111
Banning,0.14285714285714285
Bar,0.01775147928994083
Barbara,1.0
Barbariet,1.0
Barbeint,0.09523809523809523
Barbere,0.2222222222222222
Barberer,0.5
Barberhøvel,0.3333333333333333
Barbie,4.0
Baren,0.08
Bareth,0.5
Barføtt,0.25
Barmfarger,1.0
Barna,0.061224489795918366
Barndommen,0.07142857142857142
Barndomsdrømmen,1.0
Barnebilder,0.5
Barnemat,1.5
