
"

;; The original files now contained in this single file include, in addition
;; to the verb irregular, the following:
;; pl_def_f_subst.irreg
;; pl_def_m_subst.irreg
;; pl_def_n_subst.irreg
;; pl_ind_f_subst.irreg
;; pl_ind_m_subst.irreg
;; pl_ind_n_subst.irreg
;; sg_def_f_subst.irreg
;; sg_def_m_subst.irreg
;; sg_def_n_subst.irreg

;;;;;;;;;; Verbs ;;;;;;;;;;
blidgjør pres-infl_rule blidgjøre
blidgjorde pret-nonfstr_infl_rule blidgjøre
blidgjort ppart-nonfstr_infl_rule blidgjøre
frigjør pres-infl_rule frigjøre
frigjorde pret-nonfstr_infl_rule frigjøre
frigjort ppart-nonfstr_infl_rule frigjøre
klargjør pres-infl_rule klargjøre
klargjorde pret-nonfstr_infl_rule klargjøre
klargjort ppart-nonfstr_infl_rule klargjøre
kunngjør pres-infl_rule kunngjøre
kunngjorde pret-nonfstr_infl_rule kunngjøre
kunngjort ppart-nonfstr_infl_rule kunngjøre
muliggjør pres-infl_rule muliggjøre
muliggjorde pret-nonfstr_infl_rule muliggjøre
muliggjort ppart-nonfstr_infl_rule muliggjøre
umuliggjør pres-infl_rule umuliggjøre
umuliggjorde pret-nonfstr_infl_rule umuliggjøre
umuliggjort ppart-nonfstr_infl_rule umuliggjøre
offentliggjør pres-infl_rule offentliggjøre
offentliggjorde pret-nonfstr_infl_rule offentliggjøre
offentliggjort ppart-nonfstr_infl_rule offentliggjøre
redegjør pres-infl_rule redegjøre
redegjorde pret-nonfstr_infl_rule redegjøre
redegjort ppart-nonfstr_infl_rule redegjøre
rettferdiggjør pres-infl_rule rettferdiggjøre
rettferdiggjorde pret-nonfstr_infl_rule rettferdiggjøre
rettferdiggjort ppart-nonfstr_infl_rule rettferdiggjøre
rimeliggjør pres-infl_rule rimeliggjøre
rimeliggjorde pret-nonfstr_infl_rule rimeliggjøre
rimeliggjort ppart-nonfstr_infl_rule rimeliggjøre
tjenestegjør pres-infl_rule tjenestegjøre
tjenestegjorde pret-nonfstr_infl_rule tjenestegjøre
tjenestegjort ppart-nonfstr_infl_rule tjenestegjøre
tydeliggjør pres-infl_rule tydeliggjøre
tydeliggjorde pret-nonfstr_infl_rule tydeliggjøre
tydeliggjort ppart-nonfstr_infl_rule tydeliggjøre
utgjør pres-infl_rule utgjøre
utgjorde pret-nonfstr_infl_rule utgjøre
utgjort ppart-nonfstr_infl_rule utgjøre

brøt pret-nonfstr_infl_rule bryte
brutt ppart-nonfstr_infl_rule bryte
avbrøt pret-nonfstr_infl_rule avbryte
avbrutt ppart-nonfstr_infl_rule avbryte

fant pret-nonfstr_infl_rule finne
funnet ppart-nonfstr_infl_rule finne
befant pret-nonfstr_infl_rule befinne
befunnet ppart-nonfstr_infl_rule befinne
avfant pret-nonfstr_infl_rule avfinne
avfunnet ppart-nonfstr_infl_rule avfinne
oppfant pret-nonfstr_infl_rule oppfinne
oppfunnet ppart-nonfstr_infl_rule oppfinne
innfant pret-nonfstr_infl_rule innfinne
innfunnet ppart-nonfstr_infl_rule innfinne

hjalp pret-nonfstr_infl_rule hjelpe
hjulpet ppart-nonfstr_infl_rule hjelpe
avhjalp pret-nonfstr_infl_rule avhjelpe
avhjulpet ppart-nonfstr_infl_rule avhjelpe

satte pret-nonfstr_infl_rule sette
satt ppart-nonfstr_infl_rule sette
ansatte pret-nonfstr_infl_rule ansette
ansatt ppart-nonfstr_infl_rule ansette
avsatte pret-nonfstr_infl_rule avsette
avsatt ppart-nonfstr_infl_rule avsette
fastsatte pret-nonfstr_infl_rule fastsette
fastsatt ppart-nonfstr_infl_rule fastsette
forutsatte pret-nonfstr_infl_rule forutsette
forutsatt ppart-nonfstr_infl_rule forutsette
fortsatte pret-nonfstr_infl_rule fortsette
fortsatt ppart-nonfstr_infl_rule fortsette
omsatte pret-nonfstr_infl_rule omsette
omsatt ppart-nonfstr_infl_rule omsette
tilsatte pret-nonfstr_infl_rule tilsette
tilsatt ppart-nonfstr_infl_rule tilsette
oversatte pret-nonfstr_infl_rule oversette
oversatt ppart-nonfstr_infl_rule oversette
besatte pret-nonfstr_infl_rule besette
besatt ppart-nonfstr_infl_rule besette
bisatte pret-nonfstr_infl_rule bisette
bisatt ppart-nonfstr_infl_rule bisette
iverksatte pret-nonfstr_infl_rule iversette
iversatt ppart-nonfstr_infl_rule iversette
nedsatte pret-nonfstr_infl_rule nedsette
nedsatt ppart-nonfstr_infl_rule nedsette
utsatte pret-nonfstr_infl_rule utsette
utsatt ppart-nonfstr_infl_rule utsette

satt pret-nonfstr_infl_rule sitte
besatt pret-nonfstr_infl_rule besitte

