,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995
Debutboken,1,1.0,,,,,,,,
Del,1,1.0,1.0,1.0,3.0,4.0,8.0,7.0,5.0,3.0
Deltakerne,1,,,1.0,1.0,2.0,1.0,1.0,,
Dem,5,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0
Den,45,56.0,65.0,80.0,132.0,222.0,192.0,217.0,194.0,183.0
Denne,9,22.0,28.0,26.0,29.0,49.0,55.0,89.0,87.0,47.0
Dens,2,2.0,2.0,1.0,,1.0,,,,2.0
Der,1,,2.0,4.0,5.0,7.0,5.0,10.0,16.0,14.0
Deres,8,7.0,8.0,13.0,8.0,6.0,9.0,9.0,6.0,11.0
Derfor,3,1.0,1.0,4.0,12.0,15.0,18.0,20.0,31.0,27.0
Derimot,1,1.0,,,1.0,4.0,6.0,4.0,2.0,2.0
Dermed,1,5.0,4.0,1.0,1.0,5.0,8.0,7.0,4.0,7.0
Dessuten,1,2.0,9.0,10.0,11.0,15.0,16.0,20.0,20.0,15.0
Det,120,134.0,185.0,224.0,330.0,527.0,620.0,943.0,902.0,755.0
Detektiv,1,1.0,,,,,,,,
Dett,1,1.0,,,,,,,,
Dette,17,23.0,29.0,50.0,68.0,113.0,138.0,211.0,217.0,175.0
Direktør,1,1.0,1.0,,,1.0,2.0,4.0,4.0,
Dl,1,1.0,,,,,,,,
Don,1,1.0,,,,,1.0,2.0,3.0,2.0
Doris,3,4.0,1.0,1.0,,,,,,
Dr,1,1.0,,,,,,1.0,1.0,
Dr.,2,2.0,2.0,1.0,,,,,,
Drykkenskapsforseelsene,1,1.0,,,,,,,,
DØDSFALL,1,,,,,,,,,1.0
Då,1,,,,1.0,1.0,1.0,2.0,2.0,3.0
Dårlig,2,1.0,4.0,5.0,5.0,6.0,10.0,27.0,34.0,35.0
E,2,2.0,2.0,1.0,2.0,5.0,3.0,9.0,11.0,9.0
E.F,1,,,,,,,,,
EGENSKAPER,2,2.0,,,,,,,,
EGGCENTRALER,1,,,,,,,,,
EIDEM,1,,,,,,,,,
ELVER,1,1.0,,,,,,,,
EN,3,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0
ETTE,1,1.0,1.0,,,,,,,
ETTER,1,,,,,,,3.0,3.0,2.0
Edgar,1,1.0,1.0,,,,,1.0,4.0,6.0
Eduard,1,,,,,,,,,
Efter,1,3.0,2.0,6.0,8.0,4.0,8.0,5.0,1.0,
Eg,2,2.0,2.0,5.0,8.0,12.0,12.0,12.0,9.0,16.0
Egenskaper,1,1.0,,,,,,,2.0,2.0
Ei,1,,,1.0,8.0,9.0,5.0,6.0,2.0,3.0
Eidem,1,1.0,,,,,,,,
Eier,1,1.0,1.0,,,,,,,
Ein,2,3.0,3.0,3.0,10.0,15.0,10.0,7.0,7.0,12.0
Einar,2,2.0,2.0,,1.0,1.0,6.0,16.0,19.0,9.0
Eisenhower,1,,,,,,,,,
Ekeber,1,1.0,,,,,,,,
Eksakt,2,,,,,,,,,
Eksamen,1,1.0,1.0,1.0,,,,,,1.0
Eksp,1,,,,,,,,,
Ekstranummer,1,,,,,,,,,
Eldi,1,,,,,,,,,
Elektronikk,1,1.0,1.0,,,,,,,
Eliezer,1,1.0,,,,,,,,
Eljsa,1,1.0,,,,,,,,
Eller,2,3.0,3.0,2.0,2.0,11.0,15.0,35.0,29.0,22.0
Ellers,1,7.0,9.0,4.0,4.0,8.0,7.0,9.0,4.0,3.0
Emil,1,1.0,,,,,1.0,,1.0,1.0
En,32,55.0,65.0,48.0,60.0,104.0,131.0,191.0,181.0,137.0
Eneelskart,1,1.0,,,,,,,,
Enestående,1,1.0,,,,,,,,
England,1,6.0,8.0,2.0,2.0,4.0,5.0,7.0,16.0,22.0
Enhver,1,2.0,1.0,,,2.0,3.0,4.0,1.0,1.0
Enkelte,1,1.0,1.0,1.0,2.0,2.0,4.0,7.0,6.0,
Ennå,1,1.0,,,,2.0,2.0,,,
Enten,1,1.0,,,,,1.0,3.0,3.0,2.0
Eomhet,1,,,,,,,,,
Er,10,11.0,7.0,13.0,39.0,71.0,55.0,96.0,104.0,90.0
Erevan,1,,,,,,,,,
Erfaring,2,5.0,12.0,12.0,12.0,32.0,44.0,52.0,43.0,21.0
Eriksen,1,,,,1.0,1.0,6.0,5.0,7.0,4.0
Erklæringen,1,1.0,,,,,,,,
Erling,1,,1.0,1.0,2.0,7.0,10.0,8.0,3.0,2.0
Ernst,2,1.0,1.0,,,1.0,2.0,2.0,,
Ervervsmessig,1,,,,,,,,,
Et,11,8.0,9.0,12.0,15.0,43.0,51.0,69.0,56.0,59.0
EthVert,1,,,,,,,,,
Etter,6,17.0,23.0,13.0,18.0,44.0,51.0,73.0,64.0,68.0
Etterhånden,1,1.0,,,,,,,,
Ettertrykk,1,1.0,,,,,,,,
Europa,3,1.0,,1.0,1.0,1.0,1.0,3.0,4.0,6.0
Eventuelle,1,1.0,,,,,,,,
Eventuelt,1,1.0,,,,,,,,
Evnene,1,1.0,,,,,,,,
F.,2,,,,,,,,,
FANTASTISK,1,,,,,,,,,
FLØYE,1,1.0,1.0,,,,,,,
FOLKEKONGRESSEN,1,,,,,,,,,
FOR,1,,,,,1.0,,2.0,1.0,1.0
FORBRUKERRÅDETS,1,1.0,,,,,,,,
FRA,1,1.0,,,1.0,1.0,,,,1.0
FRED,1,,,,,,,,,
FRONTHN,1,1.0,,,,,,,,
Fagerholm,1,1.0,,,,,,,,
Fakultetet,1,1.0,,,,,,,,1.0
Falkberg,1,,,,,,,,,
Fedrenes,1,1.0,,,,,,,,
Fektningsrapporten,1,,,,,,,,,
Fenrik,1,,,,,,,,,
Fenton,1,,,,,,,,,
Filmteatret,1,1.0,,,,,,,,
Fin,1,1.0,2.0,1.0,,3.0,1.0,,2.0,2.0
Finn,1,2.0,1.0,2.0,4.0,5.0,6.0,13.0,13.0,8.0
Finneidfjord,1,1.0,,,,,,,,
Finnes,1,1.0,,1.0,1.0,,,2.0,2.0,3.0
Finnland,2,3.0,2.0,,,,,,,
Finnmarken,2,,,,,,,,,
Fins,2,1.0,,,,,,,,
Finsk,1,1.0,1.0,,,,15.0,11.0,,
Firda,1,,,,,,1.0,1.0,1.0,
Fjernsyn,1,,,,1.0,1.0,,,,
Florida,3,1.0,,,,,,,,
Folk,1,2.0,3.0,1.0,2.0,3.0,6.0,8.0,11.0,13.0
Folkeblad,1,,,1.0,1.0,,1.0,1.0,,
Folkedemokratisk,1,,,,,,,,,
Folkets,1,,,,,,1.0,1.0,1.0,
For,16,19.0,22.0,30.0,33.0,64.0,83.0,107.0,120.0,123.0
Forbrukerrådets,1,1.0,,,,,,,,
Forfatteren,1,2.0,2.0,3.0,2.0,,1.0,3.0,2.0,1.0
Forfatterens,1,,,,,,,,,
Forkjølelsen,1,1.0,,,,,,,,
Formannen,2,1.0,,,,,,,,
Forresten,1,1.0,,,,,,,,
Forsiktig,1,,,,,,,,,
Forskjellen,1,8.0,10.0,3.0,2.0,3.0,,2.0,7.0,8.0
Forskningsråd,1,1.0,,,,,,,,
Forsl,1,1.0,,,,,,,,
Forsvold,1,1.0,,,,,,,,
Forts,1,2.0,2.0,1.0,,,,,,
Fortsatt,1,,,,,1.0,3.0,1.0,1.0,4.0
Foruten,2,,2.0,5.0,4.0,1.0,2.0,2.0,3.0,3.0
Fotballstjerner,1,1.0,,,,,,,,
Fra,1,4.0,7.0,17.0,22.0,23.0,19.0,34.0,35.0,18.0
Frankrike,1,1.0,2.0,2.0,3.0,2.0,,,1.0,
Franz,1,1.0,,,,,,,,
Fredag,1,1.0,1.0,2.0,1.0,2.0,2.0,3.0,14.0,20.0
Fredens,1,,,,,,,,,
Fredrikstad,1,1.0,,,2.0,31.0,46.0,54.0,79.0,92.0
Fremdeles,1,,,1.0,1.0,,2.0,3.0,1.0,1.0
Fremtiden,2,1.0,,1.0,1.0,,2.0,2.0,2.0,
Frierfjordas,1,1.0,,,,,,,,
Friheten,1,,,,1.0,1.0,,,,
Fritt,1,,,,,2.0,2.0,5.0,13.0,20.0
Fritz,1,,,,1.0,3.0,2.0,4.0,8.0,12.0
Froken,2,2.0,,,,,,,,
Fru,1,,,,,,,,,
Frøken,2,2.0,,,,,,,,
Frøkens,1,1.0,,,,,,,,
Full,2,3.0,3.0,,,,1.0,1.0,1.0,1.0
Fullfor,1,1.0,1.0,,,,,,,
Fullfør,1,1.0,1.0,,,,,,,
Fylkastidende,1,,,,,,,,,
Fylkestidende,1,,,,,,,,,
Fylkfistidc-nde,1,,,,,,,,,
Fylkostidende,1,,,,,,,,,
FØDSELSDAG,3,4.0,2.0,,,,,,,
Før,1,1.0,,3.0,5.0,6.0,9.0,13.0,14.0,5.0
Førerkort,1,,,,,,,,,
Først,1,1.0,,1.0,4.0,5.0,8.0,15.0,18.0,17.0
G,3,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0
G.s,1,,,,,,,,,
GJ,1,1.0,,,,,1.0,1.0,,
GJØVIK,1,,,,,1.0,,,,
GRUPPEARBEID,1,1.0,1.0,,,,,,,
Gae,1,1.0,1.0,,,,,,,
Gamle,1,,,,,,,1.0,,2.0
Gamlebyen,1,,,,,,,,,
Gangstérjournalistikk,1,,,,,,,,,
Garborgs,1,,,3.0,3.0,,,,,
Garland,1,1.0,,,,,,,,
Geistlig,1,,,,,,,,,
