,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-0-b,245-1-3-b
2013092406027.0,"Ewo, Jon",Otto Monsters skumle skolestart,2011,"barnebøker, barnelitteratur, lettlest, norsk, skole, skolestart",nob,2011.0,,,
2013092508030.0,"Andersson, Rune Johan",Viggo i veggen,2013,"barnebøkerbilledbøker, bildebøker, grøssere, insekter, lettlest, litteratur, norsk, spenning",nob,2013.0,,,
2013103106055.0,"Kinney, Jeff",Rodrick ruler,2010,"barnebøker, familien, humor, søsken, ungdomsbøker",nob,2010.0,,,
2013120206175.0,"Otterlei, Camilla Dahle",Klara og gangsterklubben,2010,"barnebøker, barnelitteratur, ferie, gutter, jenter, norsk, vennskap",nob,2010.0,,,
2013121805112.0,"Wallace, Jason",Der skyggene faller,2010,"barnebøker, mobbing, politikkinternatskoler, samfunnsforhold, ungdomsbøker, zimbabwe",nob,2010.0,,,
2014020306114.0,"Salmson, Jo",Tam tiggergutten,2010,"barnebøker, drager, fantastisk, fantasy, lettlest",nob,2010.0,,,
2014022106025.0,"Ingvaldsen, Bjørn",Bloddråpetreet,2011,"annerledes, barnebøker",nob,2011.0,,,
2014031006126.0,"Moundlic, Charlotte",Skorpen,cop. 2011,"barn, barnebøker, barnelitteratur, bildebøker, billedbøker, døden, fransk, følelser, mødre, sorg",nob,2011.0,,,
2014031106041.0,"Espeland, Webjørn Svendsen",Aldrin Akrobat blir astronaut,2011,"barnebøker, barnelitteratur, fantastisk, norsk, verdensrommet",nob,2011.0,,,
2014031106054.0,"Renberg, Tore",Trillefolket :,2011,"barnebøker, ensomhet, vennskap",nob,2011.0,,hva hendte med Kjartan?,
2014031208008.0,"Stai, Kari",Mopp og Mikko elskar dyr,cop. 2011,"barnebøker, biletbøker, billedbøker, dyr, peikebøker, pekebøker, skjønnlitteratur",nno,2011.0,,,
2014031306098.0,"Berggren, Arne",Ferieplageren,2011,"barnebøker, familie, ferie, lettlest",nob,2011.0,,,
2014031805035.0,"Osborne, Mary Pope",Sjørøvere sent på dagen,2011,"barnebøker, leseløve, sjørøvere, tidsreiser",nob,2011.0,,,
2014040206038.0,"Pitcher, Annabel",Søsteren min på peishylla,2011,"barnebøker, døden, familien, flytting, sorg, ungdomsbøker",nob,2011.0,,,
2014042407135.0,"Moore, Genevieve",Katrines historie,cop. 2011,"barnebøker, billedbøker, funksjonshemmede",nob,2011.0,,,
2014051406041.0,"Kirkegaard, Ole Lund",Klubben for pill råtne slyngler og andre gode historier,cop. 2011,"barnebøker, barnelitteratur, dansk, fortellinger",nob,2011.0,,,
2014052605026.0,"Moen, Torhild","Husker du meg, mormor? :",cop. 2010,"alzheimer, barnebøker, besteforeldre, demens, sykdom, sykehjem",nob,2010.0,,nye opplevelser med Vilja,
