,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
31,3.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
altfor,3.0,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,
Knut,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rant,3.0,,,,33.0,,,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,
reiste,34.0,,,,,1.0,,,1.0,,,2.0,26.0,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,
rett,21.0,,1.0,19.0,16.0,2.0,,,15.0,6.0,50.0,4.0,1.0,2.0,,8.0,1.0,1.0,5.0,,,14.0,5.0,,1.0,4.0,,,,5.0,7.0,23.0,16.0,5.0,7.0,,
35,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
rundt,60.0,1.0,2.0,545.0,9.0,3.0,,,6.0,,120.0,13.0,4.0,1.0,1.0,2.0,,,268.0,5.0,,15.0,8.0,,,,,4.0,2.0,8.0,2.0,2167.0,358.0,1.0,47.0,,1.0
underveis,3.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
tydet,2.0,,,,2.0,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
skulderlangt,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slepte,3.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
92,1.0,,,1.0,1.0,,,,1.0,,3.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
sto,142.0,,,,29.0,2.0,,,13.0,2.0,12.0,15.0,3.0,,3.0,4.0,6.0,,,,1.0,3.0,2.0,,,2.0,,,,,1.0,5.0,6.0,1.0,,,
synes,2.0,,,,2.0,,,,5.0,,1.0,,,,,2.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,
61,1.0,,,3.0,4.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
seg,17.0,,,6.0,52.0,7.0,,4.0,36.0,1.0,6.0,10.0,1.0,,1.0,24.0,3.0,,10.0,,,5.0,2.0,,,,,1.0,,1.0,1.0,5.0,7.0,,4.0,,
